category,name,phone,description,address,city,state,zip,isVirtual,website,Areas_Served
Housing and shelter,Food and Shelter,405-360-4954,"Transitional Housing, M-F 8am-4pm",201 Reed Avenue,Norman,Oklahoma,73071,FALSE,,
Housing and shelter,Habitat for Humanity,405-360-7868,Homes for low-income families; new & used building supplies,1100 W Main,Norman,Oklahoma,73069,FALSE,,
Housing and shelter,Mission Norman,405-321-8880,Call for details,2525 E Lindsey,Norman,Oklahoma,73071,FALSE,,
Housing and shelter,Norman Housing Authority,405-329-0933,Mon-Tue 9am-11am 1pm-4pm,700-A N Berry,Norman,Oklahoma,73069,FALSE,,
Housing and shelter,OU Motel,405-321-4670,Hotel rooms and apartments,2420 S Classen,Norman,Oklahoma,73071,FALSE,,
Housing and shelter,Rose Rock Villa,405-364-5601,Assisted living for disabled and 62 years and older,700 N Berry,Norman,Oklahoma,73069,FALSE,,
Housing and shelter,Salvation Army,405-364-9910,(See attached sheet),318 E Hayes,Norman,Oklahoma,73071,FALSE,,
Housing and shelter,Sanctuary Women’s Dev Ctr.,405-701-8293,Transitional housing in Midwest City,427 E Tonhawa St.,Norman,Oklahoma,73071,FALSE,,
Housing and shelter,Transition House Inc.,405-360-7926,"Transitional home program for adults w/mental illnes, thouse.org",700 Asp Ave Ste. 2,Norman,Oklahoma,73069,FALSE,,
Housing and shelter,Thunderbird Clubhouse,405-321-7331,Clubhouse for adults recovering from mental illness,1251 Triad Village Dr.,Norman,Oklahoma,73071,FALSE,,
Housing and shelter,Women’s Resource Center,405-364-9424,Crisis Hotline: 405-701-5540 Leave Message,222 E Eufala St,Norman,Oklahoma,73069,TRUE,,
Financial Assistance - Rent/Utilities,Alameda Church of Christ,405-321-0788,Call Mon 8am for appt 1 wk advance; once a year; 3x max; ultilieis,801 E Alameda,Norman,Oklahoma,73071,FALSE,,
Financial Assistance - Rent/Utilities,Dept. of Human Services,405-573-8300,ECAP available summer and winter,631 E Robinson,Norman,Oklahoma,73071,TRUE,,
